hole_id,from_md,to_md,unit
J712,173.09,176.98,coalmid
J712,176.98,237.63,stonetop
J712,237.63,241.93,coalend
J712,241.93,254,stonemid
J712,254,255.44,coalendo
J712,255.44,266.89,stoneend
J812,0,14.43,loss
J812,14.43,140.43,lishi
J812,140.43,143.73,coaltop
J812,143.73,184.7,mix
J812,184.7,187.82,coalmid
J812,187.82,241.23,stonetop
J812,241.23,246.13,coalend
J812,246.13,256.62,stonemid
J812,256.62,258.02,coalendo
J812,258.02,298.1,stoneend
J813,0,29.56,loss
J813,29.56,145.54,lishi
J813,145.54,148.84,coaltop
J813,148.84,189.65,mix
J813,189.65,192.8,coalmid
J813,192.8,245.15,stonetop
J813,245.15,249.95,coalend
J813,249.95,263.25,stonemid
J813,263.25,264.6,coalendo
J813,264.6,275.74,stoneend
J911,0,48.67,loss
J911,48.67,133.87,lishi
J911,133.87,137.01,coaltop
J911,137.01,179.4,mix
J911,179.4,182.11,coalmid
J911,182.11,234.5,stonetop
J911,234.5,239.15,coalend
J911,239.15,252.39,stonemid
J911,252.39,253.77,coalendo
J911,253.77,300.54,stoneend
J912,0,29.4,loss
J912,29.4,138,lishi
J912,138,141,coaltop
J912,141,184,mix
J912,184,186.75,coalmid
J912,186.75,241.3,stonetop
J912,241.3,246,coalend
J912,246,256.55,stonemid
J912,256.55,258,coalendo
J912,258,267.5,stoneend
J913,0,45.15,loss
J913,45.15,143.02,lishi
J913,143.02,145.9,coaltop
J913,145.9,190.72,mix
J913,190.72,193.27,coalmid
J913,193.27,246.1,stonetop
J913,246.1,250.8,coalend
J913,250.8,264.03,stonemid
J913,264.03,264.73,coalendo
J913,264.73,311.78,stoneend
